AtmoSud

Conditions Générales d'utilisation: 

 Diffusion libre pour une réutilisation ultérieure des données dans les conditions ci-dessous : 
 – Toute utilisation partielle ou totale de ces données doit faire référence à AtmoSud en terme de "AtmoSud - Inventaire énergétique et d'émissions de polluants et gaz à effet de serre". 
 – Données non rediffusées en cas de modification ultérieure des données. 
 
 Les données contenues dans ce document restent la propriété d'AtmoSud.
 AtmoSud peut rediffuser ce document à d'autres destinataires. 

"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","CHÂTEAUNEUF-LES-MARTIGUES (13)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","CHÂTEAUNEUF-MIRAVAIL (04)","Tous secteurs","Toutes énergies","prg100.3ges","679829.7","kg"
"2007","CHÂTEAUNEUF-VAL-SAINT-DONAT (04)","Tous secteurs","Toutes énergies","prg100.3ges","3454565.9","kg"
"2007","CHÂTEAUNEUF-VILLEVIEILLE (06)","Tous secteurs","Toutes énergies","prg100.3ges","3162532.6","kg"
"2007","CHÂTEAUREDON (04)","Tous secteurs","Toutes énergies","prg100.3ges","2553076.8","kg"
"2007","CHÂTEAURENARD (13)","Tous secteurs","Toutes énergies","prg100.3ges","66465956.8","kg"
"2007","CHÂTEAUROUX-LES-ALPES (05)","Tous secteurs","Toutes énergies","prg100.3ges","15991138.5","kg"
"2007","CHÂTEAUVERT (83)","Tous secteurs","Toutes énergies","prg100.3ges","1530006.4","kg"
"2007","CHÂTEAUVIEUX (05)","Tous secteurs","Toutes énergies","prg100.3ges","4424957.8","kg"
"2007","CHÂTEAUVIEUX (83)","Tous secteurs","Toutes énergies","prg100.3ges","922800.7","kg"
"2007","CHÂTEAU-VILLE-VIEILLE (05)","Tous secteurs","Toutes énergies","prg100.3ges","5030132.7","kg"
"2007","CHAUDON-NORANTE (04)","Tous secteurs","Toutes énergies","prg100.3ges","3939125.0","kg"
"2007","CHEVAL-BLANC (84)","Tous secteurs","Toutes énergies","prg100.3ges","15184241.3","kg"
"2007","CHORGES (05)","Tous secteurs","Toutes énergies","prg100.3ges","24524685.2","kg"
"2007","CIPIÈRES (06)","Tous secteurs","Toutes énergies","prg100.3ges","2837688.3","kg"
"2007","CLAMENSANE (04)","Tous secteurs","Toutes énergies","prg100.3ges","1320724.8","kg"
"2007","CLANS (06)","Tous secteurs","Toutes énergies","prg100.3ges","2528902.1","kg"
"2007","CLARET (04)","Tous secteurs","Toutes énergies","prg100.3ges","1756910.7","kg"
"2007","CLAVIERS (83)","Tous secteurs","Toutes énergies","prg100.3ges","1789957.1","kg"
"2007","CLUMANC (04)","Tous secteurs","Toutes énergies","prg100.3ges","2890153.9","kg"
"2007","COARAZE (06)","Tous secteurs","Toutes énergies","prg100.3ges","1336720.2","kg"
"2007","COGOLIN (83)","Tous secteurs","Toutes énergies","prg100.3ges","33007914.7","kg"
"2007","COLLOBRIÈRES (83)","Tous secteurs","Toutes énergies","prg100.3ges","17272024.1","kg"
"2007","COLLONGUES (06)","Tous secteurs","Toutes énergies","prg100.3ges","762155.8","kg"
"2007","COLMARS (04)","Tous secteurs","Toutes énergies","prg100.3ges","13231239.4","kg"
"2007","COLOMARS (06)","Tous secteurs","Toutes énergies","prg100.3ges","16093472.1","kg"
"2007","COMPS-SUR-ARTUBY (83)","Tous secteurs","Toutes énergies","prg100.3ges","5309595.7","kg"
"2007","CONSÉGUDES (06)","Tous secteurs","Toutes énergies","prg100.3ges","185109.2","kg"
"2007","CONTES (06)","Tous secteurs","Toutes énergies","prg100.3ges","267996500.4","kg"
"2007","CONTES (06)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","CORBIÈRES (04)","Tous secteurs","Toutes énergies","prg100.3ges","12398351.2","kg"
"2007","CORNILLON-CONFOUX (13)","Tous secteurs","Toutes énergies","prg100.3ges","7371436.1","kg"
"2007","CORRENS (83)","Tous secteurs","Toutes énergies","prg100.3ges","3582457.4","kg"
"2007","COTIGNAC (83)","Tous secteurs","Toutes énergies","prg100.3ges","8061005.6","kg"
"2007","COUDOUX (13)","Tous secteurs","Toutes énergies","prg100.3ges","34510078.2","kg"
"2007","COURMES (06)","Tous secteurs","Toutes énergies","prg100.3ges","2048260.3","kg"
"2007","COURSEGOULES (06)","Tous secteurs","Toutes énergies","prg100.3ges","3018180.4","kg"
"2007","COURTHÉZON (84)","Tous secteurs","Toutes énergies","prg100.3ges","68827555.6","kg"
"2007","CRESTET (84)","Tous secteurs","Toutes énergies","prg100.3ges","2686189.2","kg"
"2007","CRÉVOUX (05)","Tous secteurs","Toutes énergies","prg100.3ges","2295222.7","kg"
"2007","CRILLON-LE-BRAVE (84)","Tous secteurs","Toutes énergies","prg100.3ges","1966185.5","kg"
"2007","CROTS (05)","Tous secteurs","Toutes énergies","prg100.3ges","12179460.3","kg"
"2007","CRUIS (04)","Tous secteurs","Toutes énergies","prg100.3ges","3783866.6","kg"
"2007","CUCURON (84)","Tous secteurs","Toutes énergies","prg100.3ges","6890263.3","kg"
"2007","CUÉBRIS (06)","Tous secteurs","Toutes énergies","prg100.3ges","373805.8","kg"
"2007","CUERS (83)","Tous secteurs","Toutes énergies","prg100.3ges","70177948.5","kg"
"2007","CUGES-LES-PINS (13)","Tous secteurs","Toutes énergies","prg100.3ges","14999989.5","kg"
"2007","CURBANS (04)","Tous secteurs","Toutes énergies","prg100.3ges","1933791.5","kg"
"2007","CUREL (04)","Tous secteurs","Toutes énergies","prg100.3ges","746494.0","kg"
"2007","DALUIS (06)","Tous secteurs","Toutes énergies","prg100.3ges","2875563.3","kg"
"2007","DAUPHIN (04)","Tous secteurs","Toutes énergies","prg100.3ges","3894792.3","kg"
"2007","DEMANDOLX (04)","Tous secteurs","Toutes énergies","prg100.3ges","992696.5","kg"
"2007","DEVOLUY (05)","Tous secteurs","Toutes énergies","prg100.3ges","10941435.3","kg"
"2007","DÉVOLUY (05)","Tous secteurs","Toutes énergies","prg100.3ges","10941435.3","kg"
"2007","DIGNE-LES-BAINS (04)","Tous secteurs","Toutes énergies","prg100.3ges","74955362.5","kg"
"2007","DRAGUIGNAN (83)","Tous secteurs","Toutes énergies","prg100.3ges","102472820.4","kg"
"2007","DRAGUIGNAN (83)","Tous secteurs","Toutes énergies","prg100.3ges","","Secret Stat"
"2007","DRAIX (04)","Tous secteurs","Toutes énergies","prg100.3ges","478352.1","kg"
"2007","DRAP (06)","Tous secteurs","Toutes énergies","prg100.3ges","9760560.5","kg"
"2007","DURANUS (06)","Tous secteurs","Toutes énergies","prg100.3ges","2067399.5","kg"
"2007","ÉGUILLES (13)","Tous secteurs","Toutes énergies","prg100.3ges","28609866.9","kg"
